tmb_pos_row,tmb_pos_gene,tmb_neg_row,tmb_neg_gene,survival_pos_row,survival_pos_gene,survival_neg_row,survival_neg_gene,age_pos_row,age_pos_gene,age_neg_row,age_neg_gene,instability_pos_row,instability_pos_gene,instability_neg_row,instability_neg_gene,age_all,tmb_all,instability_all
NSD11,NSD1,CDKN1A,CDKN1A,SMARCA411,SMARCA4,TP5317,TP53,FOXA11,FOXA1,IDH11,IDH1,TP531,TP53,FGFR31,FGFR3,FOXA1,CDKN1A,FGFR3
KEAP111,KEAP1,CREBBP1,CREBBP,BAP11,BAP1,TP5319,TP53,CASP811,CASP8,BRAF11,BRAF,TP533,TP53,HRAS1,HRAS,CASP8,CREBBP,HRAS
CDK121,CDK12,FBXW7,FBXW7,RNF431,RNF43,,,RAC111,RAC1,PTEN1,PTEN,TP535,TP53,NFE2L21,NFE2L2,RAC1,FBXW7,NFE2L2
NF13,NF1,FGFR312,FGFR3,ZBTB7B1,ZBTB7B,,,NF11,NF1,CTNNB11,CTNNB1,TP537,TP53,CTCF1,CTCF,NF1,FGFR3,CTCF
,,HRAS12,HRAS,MAPK1,MAPK1,,,PPP2R1A11,PPP2R1A,,,TP539,TP53,MAP3K11,MAP3K1,PPP2R1A,HRAS,MAP3K1
,,KRAS12,KRAS,SMARCA412,SMARCA4,,,TP5313,TP53,,,MAP2K1,MAP2K1,SMARCA41,SMARCA4,TP53,KRAS,SMARCA4
,,NFE2L212,NFE2L2,BAP111,BAP1,,,,,,,PPP2R1A1,PPP2R1A,IDH1,IDH1,IDH1,NFE2L2,IDH1
,,RHOB1,RHOB,RNF4311,RNF43,,,,,,,TP5311,TP53,CASP81,CASP8,BRAF,RHOB,CASP8
,,TP53110,TP53,,,,,,,,,NFE2L211,NFE2L2,CTCF3,CTCF,PTEN,TP53,CTCF
,,TSC11,TSC1,,,,,,,,,TP5321,TP53,EP3001,EP300,CTNNB1,TSC1,EP300
,,MAP3K112,MAP3K1,,,,,,,,,TP5341,TP53,HLA-A1,HLA-A,,MAP3K1,HLA-A
,,CDKN2A1,CDKN2A,,,,,,,,,KEAP11,KEAP1,HLA-B1,HLA-B,,CDKN2A,HLA-B
,,NFE2L23,NFE2L2,,,,,,,,,,,HRAS3,HRAS,,NFE2L2,HRAS
,,SLC17A61,SLC17A6,,,,,,,,,,,RAC11,RAC1,,SLC17A6,RAC1
,,TGFBR212,TGFBR2,,,,,,,,,,,TGFBR21,TGFBR2,,TGFBR2,TGFBR2
,,CDKN2A3,CDKN2A,,,,,,,,,,,CUL31,CUL3,,CDKN2A,CUL3
,,FBXW71,FBXW7,,,,,,,,,,,KRAS1,KRAS,,FBXW7,KRAS
,,NOTCH111,NOTCH1,,,,,,,,,,,HNF1A1,HNF1A,,NOTCH1,HNF1A
,,PIK3CA11,PIK3CA,,,,,,,,,,,BRAF1,BRAF,,PIK3CA,BRAF
,,PBRM11,PBRM1,,,,,,,,,,,SETD21,SETD2,,PBRM1,SETD2
,,BRAF12,BRAF,,,,,,,,,,,PTEN,PTEN,,BRAF,PTEN
,,EGFR1,EGFR,,,,,,,,,,,FGFR311,FGFR3,,EGFR,FGFR3
,,KEAP13,KEAP1,,,,,,,,,,,HRAS11,HRAS,,KEAP1,HRAS
,,KRAS31,KRAS,,,,,,,,,,,CBFB1,CBFB,,KRAS,CBFB
,,NFE2L25,NFE2L2,,,,,,,,,,,CDH11,CDH1,,NFE2L2,CDH1
,,RB11,RB1,,,,,,,,,,,CTCF11,CTCF,,RB1,CTCF
,,SETD211,SETD2,,,,,,,,,,,KRAS11,KRAS,,SETD2,KRAS
,,STK111,STK11,,,,,,,,,,,MAP2K41,MAP2K4,,STK11,MAP2K4
,,KRAS51,KRAS,,,,,,,,,,,MAP3K111,MAP3K1,,KRAS,MAP3K1
,,BRAF3,BRAF,,,,,,,,,,,PIK3CA1,PIK3CA,,BRAF,PIK3CA
,,NRAS1,NRAS,,,,,,,,,,,RUNX11,RUNX1,,NRAS,RUNX1
,,PPP6C,PPP6C,,,,,,,,,,,KRAS3,KRAS,,PPP6C,KRAS
,,PTEN11,PTEN,,,,,,,,,,,NF111,NF1,,PTEN,NF1
,,ARID1A1,ARID1A,,,,,,,,,,,CASP812,CASP8,,ARID1A,CASP8
,,CHD41,CHD4,,,,,,,,,,,EPHA21,EPHA2,,CHD4,EPHA2
,,CTCF12,CTCF,,,,,,,,,,,HLA-A11,HLA-A,,CTCF,HLA-A
,,CTNNB111,CTNNB1,,,,,,,,,,,HLA-B11,HLA-B,,CTNNB1,HLA-B
,,FGFR21,FGFR2,,,,,,,,,,,HRAS31,HRAS,,FGFR2,HRAS
,,NRAS3,NRAS,,,,,,,,,,,NOTCH11,NOTCH1,,NRAS,NOTCH1
,,PIK3CA3,PIK3CA,,,,,,,,,,,RAC112,RAC1,,PIK3CA,RAC1
,,PPP2R1A12,PPP2R1A,,,,,,,,,,,TGFBR211,TGFBR2,,PPP2R1A,TGFBR2
,,SPOP1,SPOP,,,,,,,,,,,KRAS5,KRAS,,SPOP,KRAS
,,TP5332,TP53,,,,,,,,,,,HNF1A11,HNF1A,,TP53,HNF1A
,,,,,,,,,,,,,,KRAS7,KRAS,,NSD1,KRAS
,,,,,,,,,,,,,,KIT1,KIT,,KEAP1,KIT
,,,,,,,,,,,,,,,,,CDK12,TP53
,,,,,,,,,,,,,,,,,NF1,TP53
,,,,,,,,,,,,,,,,,,TP53
,,,,,,,,,,,,,,,,,,TP53
,,,,,,,,,,,,,,,,,,TP53
,,,,,,,,,,,,,,,,,,MAP2K1
,,,,,,,,,,,,,,,,,,PPP2R1A
,,,,,,,,,,,,,,,,,,TP53
,,,,,,,,,,,,,,,,,,NFE2L2
,,,,,,,,,,,,,,,,,,TP53
,,,,,,,,,,,,,,,,,,TP53
,,,,,,,,,,,,,,,,,,KEAP1